,subject1_a,subject1,subject1_b,subject2_a,subject2,subject2_b,object,rule,conf_pca
r30,a,<dbo:assembly>,f,b,<dbo:birthPlace>,f,<dbo:designCompany>,"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:birthPlace>(b, f)",5.689e-06
r31,b,<dbo:country>,f,a,<dbo:residence>,f,<dbo:employer>,"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:residence>(a, f)",5.739e-06
r32,a,<dbo:country>,f,b,<dbo:location>,f,<dbo:source>,"<dbo:source>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",6.005e-06
r33,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:deputy>,"<dbo:deputy>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",6.277e-06
r34,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:deputy>,"<dbo:deputy>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",6.295e-06
r35,b,<dbo:country>,f,a,<dbo:deathPlace>,f,<dbo:militaryUnit>,"<dbo:militaryUnit>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",6.302e-06
r36,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:poleDriver>,"<dbo:poleDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",6.596e-06
r37,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:secondDriver>,"<dbo:secondDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",6.617e-06
r38,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:creativeDirector>,"<dbo:creativeDirector>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",6.689e-06
r39,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:secondCommander>,"<dbo:secondCommander>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",6.736e-06
r40,b,<dbo:birthPlace>,f,a,<dbo:nationality>,f,<dbo:portrayer>,"<dbo:portrayer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:nationality>(a, f)",6.775e-06
r41,b,<dbo:country>,f,a,<dbo:deathPlace>,f,<dbo:employer>,"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",7.01e-06
r42,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:mayor>,"<dbo:mayor>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",7.353e-06
r43,a,<dbo:country>,f,b,<dbo:location>,f,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",7.372e-06
r44,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:dean>,"<dbo:dean>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",7.551e-06
r45,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:chairperson>,"<dbo:chairperson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",7.609e-06
r46,b,<dbo:deathPlace>,f,a,<dbo:locatedInArea>,f,<dbo:firstAscentPerson>,"<dbo:firstAscentPerson>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:locatedInArea>(a, f)",8.205e-06
r47,b,<dbo:location>,f,a,<dbo:spokenIn>,f,<dbo:languageRegulator>,"<dbo:languageRegulator>(a, b) <= <dbo:location>(b, f) & <dbo:spokenIn>(a, f)",8.325e-06
r48,b,<dbo:country>,f,a,<dbo:deathPlace>,f,<dbo:education>,"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",8.657e-06
r49,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:vicePresident>,"<dbo:vicePresident>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",8.957e-06
r50,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:ceo>,"<dbo:ceo>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",8.963e-06
r51,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",9.141e-06
r52,b,<dbo:country>,f,a,<dbo:launchPad>,f,<dbo:launchPad>,"<dbo:launchPad>(a, b) <= <dbo:country>(b, f) & <dbo:launchPad>(a, f)",9.199e-06
r53,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:executiveProducer>,"<dbo:executiveProducer>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",9.258e-06
r54,b,<dbo:birthPlace>,f,a,<dbo:location>,f,<dbo:architect>,"<dbo:architect>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",9.275e-06
r55,a,<dbo:assembly>,f,b,<dbo:location>,f,<dbo:designCompany>,"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:location>(b, f)",9.426e-06
r56,a,<dbo:country>,f,b,<dbo:origin>,f,<dbo:aircraftTransport>,"<dbo:aircraftTransport>(a, b) <= <dbo:country>(a, f) & <dbo:origin>(b, f)",9.936e-06
r57,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:memberOfParliament>,"<dbo:memberOfParliament>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.0307e-05
r58,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:voice>,"<dbo:voice>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.0438e-05
r59,a,<dbo:location>,f,b,<dbo:nationality>,f,<dbo:architect>,"<dbo:architect>(a, b) <= <dbo:location>(a, f) & <dbo:nationality>(b, f)",1.0448e-05
r60,b,<dbo:country>,f,a,<dbo:headquarter>,f,<dbo:owningCompany>,"<dbo:owningCompany>(a, b) <= <dbo:country>(b, f) & <dbo:headquarter>(a, f)",1.0576e-05
r61,a,<dbo:country>,f,b,<dbo:origin>,f,<dbo:aircraftRecon>,"<dbo:aircraftRecon>(a, b) <= <dbo:country>(a, f) & <dbo:origin>(b, f)",1.0652e-05
r62,b,<dbo:country>,f,a,<dbo:nationality>,f,<dbo:education>,"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:nationality>(a, f)",1.0661e-05
r63,a,<dbo:country>,f,b,<dbo:stateOfOrigin>,f,<dbo:dean>,"<dbo:dean>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",1.0776e-05
r64,a,<dbo:instrument>,f,b,<dbo:instrument>,f,<dbo:associatedAct>,"<dbo:associatedAct>(a, b) <= <dbo:instrument>(a, f) & <dbo:instrument>(b, f)",1.0809e-05
r65,a,<dbo:location>,f,b,<dbo:nationality>,f,<dbo:memberOfParliament>,"<dbo:memberOfParliament>(a, b) <= <dbo:location>(a, f) & <dbo:nationality>(b, f)",1.0871e-05
r66,a,<dbo:timeZone>,f,b,<dbo:timeZone>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:timeZone>(a, f) & <dbo:timeZone>(b, f)",1.1165e-05
r67,a,<dbo:country>,f,b,<dbo:residence>,f,<dbo:dean>,"<dbo:dean>(a, b) <= <dbo:country>(a, f) & <dbo:residence>(b, f)",1.1206e-05
r68,b,<dbo:country>,f,a,<dbo:residence>,f,<dbo:billed>,"<dbo:billed>(a, b) <= <dbo:country>(b, f) & <dbo:residence>(a, f)",1.13e-05
r69,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:vicePresident>,"<dbo:vicePresident>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.1526e-05
r70,b,<dbo:country>,f,a,<dbo:stateOfOrigin>,f,<dbo:education>,"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:stateOfOrigin>(a, f)",1.1578e-05
r71,b,<dbo:deathPlace>,f,a,<dbo:location>,f,<dbo:secondDriver>,"<dbo:secondDriver>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:location>(a, f)",1.1585e-05
r72,a,<dbo:birthPlace>,f,b,<dbo:nationality>,f,<dbo:partner>,"<dbo:partner>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",1.2547e-05
r73,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:voice>,"<dbo:voice>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.2557e-05
r74,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:illustrator>,"<dbo:illustrator>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.2643e-05
r75,a,<dbo:assembly>,f,b,<dbo:deathPlace>,f,<dbo:designCompany>,"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:deathPlace>(b, f)",1.2677e-05
r76,b,<dbo:country>,f,a,<dbo:location>,f,<dbo:outflow>,"<dbo:outflow>(a, b) <= <dbo:country>(b, f) & <dbo:location>(a, f)",1.2941e-05
r77,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:viceChancellor>,"<dbo:viceChancellor>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.3153e-05
r78,b,<dbo:location>,f,a,<dbo:stateOfOrigin>,f,<dbo:employer>,"<dbo:employer>(a, b) <= <dbo:location>(b, f) & <dbo:stateOfOrigin>(a, f)",1.335e-05
r79,b,<dbo:location>,f,a,<dbo:nationality>,f,<dbo:employer>,"<dbo:employer>(a, b) <= <dbo:location>(b, f) & <dbo:nationality>(a, f)",1.335e-05
r80,b,<dbo:country>,f,a,<dbo:sourceCountry>,f,<dbo:mouthMountain>,"<dbo:mouthMountain>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",1.3856e-05
r81,b,<dbo:country>,f,a,<dbo:locatedInArea>,f,<dbo:crosses>,"<dbo:crosses>(a, b) <= <dbo:country>(b, f) & <dbo:locatedInArea>(a, f)",1.3914e-05
r82,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:executiveProducer>,"<dbo:executiveProducer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.3921e-05
r83,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:vicePresident>,"<dbo:vicePresident>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.4364e-05
r84,a,<dbo:location>,f,b,<dbo:location>,f,<dbo:engineer>,"<dbo:engineer>(a, b) <= <dbo:location>(a, f) & <dbo:location>(b, f)",1.4714e-05
r85,a,<dbo:occupation>,f,b,<dbo:occupation>,f,<dbo:associatedAct>,"<dbo:associatedAct>(a, b) <= <dbo:occupation>(a, f) & <dbo:occupation>(b, f)",1.4766e-05
r86,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:secondDriver>,"<dbo:secondDriver>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",1.5002e-05
r87,a,<dbo:party>,f,b,<dbo:party>,f,<dbo:opponent>,"<dbo:opponent>(a, b) <= <dbo:party>(a, f) & <dbo:party>(b, f)",1.5002e-05
r88,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:showJudge>,"<dbo:showJudge>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.5106e-05
r89,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:voice>,"<dbo:voice>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",1.5388e-05
r90,b,<dbo:country>,f,a,<dbo:mouthCountry>,f,<dbo:source>,"<dbo:source>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",1.5406e-05
r91,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:alumni>,"<dbo:alumni>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.6404e-05
r92,a,<dbo:country>,f,b,<dbo:location>,f,<dbo:lowestPlace>,"<dbo:lowestPlace>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",1.6574e-05
r93,b,<dbo:country>,f,a,<dbo:mouthCountry>,f,<dbo:sourcePlace>,"<dbo:sourcePlace>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",1.6874e-05
r94,a,<dbo:birthPlace>,f,b,<dbo:nationality>,f,<dbo:child>,"<dbo:child>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",1.6911e-05
r95,b,<dbo:country>,f,a,<dbo:mouthCountry>,f,<dbo:mouthMountain>,"<dbo:mouthMountain>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",1.6962e-05
r96,b,<dbo:country>,f,a,<dbo:locationCountry>,f,<dbo:broadcastNetwork>,"<dbo:broadcastNetwork>(a, b) <= <dbo:country>(b, f) & <dbo:locationCountry>(a, f)",1.7304e-05
r97,a,<dbo:birthPlace>,f,b,<dbo:residence>,f,<dbo:doctoralStudent>,"<dbo:doctoralStudent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:residence>(b, f)",1.7403e-05
r98,b,<dbo:deathPlace>,f,a,<dbo:location>,f,<dbo:poleDriver>,"<dbo:poleDriver>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:location>(a, f)",1.7762e-05
r99,a,<dbo:country>,f,b,<dbo:location>,f,<dbo:island>,"<dbo:island>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",1.7813e-05
r100,a,<dbo:computingInput>,f,b,<dbo:computingInput>,f,<dbo:gameEngine>,"<dbo:gameEngine>(a, b) <= <dbo:computingInput>(a, f) & <dbo:computingInput>(b, f)",1.8409e-05
r101,a,<dbo:birthPlace>,f,b,<dbo:nationality>,f,<dbo:doctoralStudent>,"<dbo:doctoralStudent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",1.8475e-05
r102,a,<dbo:country>,f,b,<dbo:locatedInArea>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:country>(a, f) & <dbo:locatedInArea>(b, f)",1.8545e-05
r103,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:mayor>,"<dbo:mayor>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.8661e-05
r104,a,<dbo:citizenship>,f,b,<dbo:country>,f,<dbo:education>,"<dbo:education>(a, b) <= <dbo:citizenship>(a, f) & <dbo:country>(b, f)",1.8923e-05
r105,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:showJudge>,"<dbo:showJudge>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.8969e-05
r106,a,<dbo:birthPlace>,f,b,<dbo:birthPlace>,f,<dbo:associatedAct>,"<dbo:associatedAct>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",1.9002e-05
r107,b,<dbo:country>,f,a,<dbo:sourceCountry>,f,<dbo:source>,"<dbo:source>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",1.9276e-05
r108,b,<dbo:birthPlace>,f,a,<dbo:nationality>,f,<dbo:child>,"<dbo:child>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:nationality>(a, f)",1.9661e-05
r109,a,<dbo:birthPlace>,f,b,<dbo:nationality>,f,<dbo:incumbent>,"<dbo:incumbent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",2.0595e-05
r110,b,<dbo:location>,f,a,<dbo:origin>,f,<dbo:manufacturer>,"<dbo:manufacturer>(a, b) <= <dbo:location>(b, f) & <dbo:origin>(a, f)",2.1206e-05
r111,a,<dbo:assembly>,f,b,<dbo:nationality>,f,<dbo:designCompany>,"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:nationality>(b, f)",2.129e-05
r112,a,<dbo:locatedInArea>,f,b,<dbo:location>,f,<dbo:crosses>,"<dbo:crosses>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:location>(b, f)",2.1377e-05
r113,a,<dbo:birthPlace>,f,b,<dbo:deathPlace>,f,<dbo:doctoralStudent>,"<dbo:doctoralStudent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",2.1582e-05
r114,a,<dbo:nationality>,f,b,<dbo:nationality>,f,<dbo:incumbent>,"<dbo:incumbent>(a, b) <= <dbo:nationality>(a, f) & <dbo:nationality>(b, f)",2.1702e-05
r115,b,<dbo:country>,f,a,<dbo:sourceCountry>,f,<dbo:sourcePlace>,"<dbo:sourcePlace>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",2.1893e-05
r116,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:formerPartner>,"<dbo:formerPartner>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",2.2334e-05
r117,b,<dbo:birthPlace>,f,a,<dbo:thirdDriverCountry>,f,<dbo:thirdDriver>,"<dbo:thirdDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:thirdDriverCountry>(a, f)",2.2376e-05
r118,b,<dbo:country>,f,a,<dbo:deathPlace>,f,<dbo:notableWork>,"<dbo:notableWork>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",2.3204e-05
r119,b,<dbo:country>,f,a,<dbo:premierePlace>,f,<dbo:premierePlace>,"<dbo:premierePlace>(a, b) <= <dbo:country>(b, f) & <dbo:premierePlace>(a, f)",2.323e-05
r120,a,<dbo:birthPlace>,f,b,<dbo:nationality>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",2.3266e-05
r121,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:chairperson>,"<dbo:chairperson>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",2.3638e-05
r122,a,<dbo:country>,f,b,<dbo:stateOfOrigin>,f,<dbo:executiveProducer>,"<dbo:executiveProducer>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",2.3737e-05
r123,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:memberOfParliament>,"<dbo:memberOfParliament>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",2.3877e-05
r124,a,<dbo:birthPlace>,f,b,<dbo:birthPlace>,f,<dbo:incumbent>,"<dbo:incumbent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",2.4272e-05
r125,b,<dbo:country>,f,a,<dbo:mouthCountry>,f,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",2.4674e-05
r126,a,<dbo:country>,f,b,<dbo:stateOfOrigin>,f,<dbo:chairperson>,"<dbo:chairperson>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",2.5476e-05
r127,a,<dbo:country>,f,b,<dbo:hometown>,f,<dbo:showJudge>,"<dbo:showJudge>(a, b) <= <dbo:country>(a, f) & <dbo:hometown>(b, f)",2.5491e-05
r128,b,<dbo:country>,f,a,<dbo:residence>,f,<dbo:education>,"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:residence>(a, f)",2.5521e-05
r129,b,<dbo:locationCountry>,f,a,<dbo:spokenIn>,f,<dbo:languageRegulator>,"<dbo:languageRegulator>(a, b) <= <dbo:locationCountry>(b, f) & <dbo:spokenIn>(a, f)",2.5784e-05
r130,a,<dbo:party>,f,b,<dbo:party>,f,<dbo:incumbent>,"<dbo:incumbent>(a, b) <= <dbo:party>(a, f) & <dbo:party>(b, f)",2.5835e-05
r131,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:foundingPerson>,"<dbo:foundingPerson>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",2.5908e-05
r132,a,<dbo:country>,f,b,<dbo:residence>,f,<dbo:alumni>,"<dbo:alumni>(a, b) <= <dbo:country>(a, f) & <dbo:residence>(b, f)",2.593e-05
r133,b,<dbo:birthPlace>,f,a,<dbo:location>,f,<dbo:coach>,"<dbo:coach>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",2.6723e-05
r134,b,<dbo:country>,f,a,<dbo:sourceCountry>,f,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",2.6876e-05
r135,a,<dbo:birthPlace>,f,b,<dbo:deathPlace>,f,<dbo:partner>,"<dbo:partner>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",2.7173e-05
r136,a,<dbo:birthPlace>,f,b,<dbo:deathPlace>,f,<dbo:child>,"<dbo:child>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",2.7743e-05
r137,a,<dbo:birthPlace>,f,b,<dbo:location>,f,<dbo:employer>,"<dbo:employer>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:location>(b, f)",2.7787e-05
r138,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:alumni>,"<dbo:alumni>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",2.7871e-05
r139,a,<dbo:birthPlace>,f,b,<dbo:nationality>,f,<dbo:influencedBy>,"<dbo:influencedBy>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",2.8022e-05
r140,b,<dbo:birthPlace>,f,a,<dbo:location>,f,<dbo:executiveProducer>,"<dbo:executiveProducer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",2.8129e-05
r141,a,<dbo:birthPlace>,f,b,<dbo:nationality>,f,<dbo:opponent>,"<dbo:opponent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",2.8146e-05
r142,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:alumni>,"<dbo:alumni>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",2.8463e-05
